SCENARIO,Date Code,Codex,BFV,Army,Matt,Steve,HISTORICAL WINNER
Bibracte - 58 BC,-58.6,306,7,Roman,,,Roman
,,,,Helvetti,,,
Plain of Alsace - 58 BC,-58.4,307,7,Roman,,,Roman
,,,,Germanic Tribes,,,
Gergovia - 52 BC,-52.0,308,8,Roman,,,Gauls
,,,,Gauls,,,
Ilerda - 49 BC,-49.8,309,7,Caesarian,,,Draw
,,,,Pompeian,,,
Utica pt 1 Delaying Action - 49 BC,-49.6,310,4,Caesarian,,,Caesarian
,,,,Numidian,,,
Utica pt 2 The Valley - 49 BC,-49.4,311,5,Caesarian,,,Caesarian
,,,,Pompeian,,,
Bagradas River - 49 BC,-49.2,312,5,Caesarian,,,Numidian
,,,,Numidian,,,
Brindisi Raid - 48 BC,-48.8,313,6,Caesarian,,,Caesarian
,,,,Pompeian,,,
Dyrrhachium - 48 BC,-48.6,314,6,Caesarian,,,Caesarian
,,,,Pompeian,,,
Pharsalus - 48 BC,-48.4,315,7,Caesarian,,,Caesarian
,,,,Pompeian,,,
Zela - 47 BC,-47.0,316,7,Caesarian,,,Caesarian
,,,,Pontic,,,
Ruspina - 46 BC,-46.6,317,5,Caesarian,,,Caesarian
,,,,Numidian,,,
Thapsus - 46 BC,-46.4,318,7,Caesarian,,,Caesarian
,,,,Pompeian,,,
Munda - 45 BC,-45.0,319,8,Caesarian,,,Caesarian
,,,,Pompeian,,,
Tigranocerta - 69 BC,-69.0,401,6,Roman,,,Roman
,,,,Armenian,,,
Carrhae - 53 BC,-53.0,402,7,Roman,,,Parthian
,,,,Parthian,,,
Philippi I - 42 BC,-42.8,403,8,Triumvirate,,,Triumvirate
,,,,Republican,,,
Philippi II - 42 BC,-42.6,404,7,Triumvirate,4,2,Triumvirate
,,,,Republican,7,7,
Cilician Gates - 39 BC,-39.0,405,6,Roman,,,Roman
,,,,Parthian,,,
Antony's Siege Train - 36 BC,-36.0,406,6,Roman,,,Parthian
,,,,Parthian,,,
Medway - 43 AD,43.0,407,6,Roman,,,Roman
,,,,Britons,,,
Boudica's Revolt Watling Street - 61 AD,61.0,408,8,Roman,,,Roman
,,,,Britons,,,
1st Battle of Bedriacum - 69 AD,69.0,409,5,Otho,,,Vitellus
,,,,Vitellus,,,
Mons Graupius - 84 AD,84.0,410,6,Roman,,,Roman
,,,,Britons,,,
Issus - 194 AD,194.0,411,7,Severus,,,Severus
,,,,Niger,,,
Lugdunum - 197 AD,197.0,412,9,Severus,,,Severus
,,,,Albinus,,,
Nisibis - 217 AD,217.0,413,8,Roman,,,Draw
,,,,Parthian,,,
Hormuz - 226 AD,226.0,414,6,Persian,,,Persian
,,,,Parthian,,,
Carthage - 238 AD,238.0,415,5,Gordianus,,,Capelianus
,,,,Capelianus,,,
Abrittus - 251 AD,251.0,416,6,Roman,,,Goths
,,,,Goths,,,
Edessa - 259 AD,259.0,417,6,Roman,,,Persian
,,,,Persian,,,
Naissus - 268 AD,268.0,418,7,Roman,2,7,Roman
,,,,Goths,5,7,
Placentia - 271 AD,271.0,419,5,Roman,,,Alemanni
,,,,Alemanni,,,
Fano - 271 AD,271.2,420,6,Roman,,,Roman
,,,,Alemanni,,,
Pavia - 271 AD,271.6,421,6,Roman,,,Roman
,,,,Alemanni,,,
Immae - 272 AD,272.0,422,6,Roman,,,Roman
,,,,Palmyrene,,,
Milvian Bridge - 312 AD,312.0,423,9,Maxentius,4,2,Constantine
,,,,Constantine,9,9,
Cibalae - 314 AD,314.0,424,8,Constantine,,,Constantine
,,,,Licinius,,,
